"노선
번호","지 점
번 호",조사 위치,,,,구    간,이정 (km),"연장
(km)","차
로
수","시
간",2018,2019,2020,2021,계,승용차,버스,소형 화물차,,중형 화물차,,,대형 화물차,,,,
,,도,시/군,구/면,동/리,,,,,,,,,,,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
,00121,충북,영동,용산,구촌,영동IC ~ 금강IC,232.3~248.3,16.0 ,6,수*,"37,254 ","36,495 ","38,107 ","42,567 ","42,075 ","24,292 ",528 ,"4,323 ","1,378 ","4,089 ","1,488 ","2,441 ",9 ,13 ,"2,306 ",57 ,"1,151 "
,00122,충북,옥천,동이,조령,금강IC ~ 옥천IC,248.3~259.7,11.4 ,4,수*,"39,257 ","36,952 ","39,663 ","43,380 ","43,002 ","24,606 ",533 ,"4,426 ","1,417 ","4,240 ","1,544 ","2,529 ",9 ,13 ,"2,408 ",62 ,"1,215 "
,00123,충북,옥천,옥천,서정,옥천IC ~ 비룡JCT,259.7~268.4,8.7 ,6,수*,"46,028 ","51,902 ","50,585 ","53,465 ","53,254 ","30,858 ",687 ,"5,510 ","1,773 ","5,132 ","1,843 ","3,051 ",11 ,14 ,"2,898 ",70 ,"1,407 "
경부선,비룡 - 회덕,,,,,,,9.5 ,,12,"65,714 ","64,702 ","61,147 ","58,199 ","63,650 ","44,524 ","1,496 ","6,517 ","2,491 ","3,150 ","1,393 ","1,838 ",-   ,2 ,"1,544 ",47 ,648 
,,,,,,,,,,24,"89,325 ","84,689 ","82,858 ","78,727 ","86,029 ","59,160 ","1,989 ","8,627 ","3,555 ","4,711 ","1,996 ","2,633 ",-   ,3 ,"2,286 ",69 ,"1,000 "
,00124,대전,,동,비룡,비룡JCT ~ 대전IC,268.4~271.9,3.5 ,6,수*,"80,872 ","77,850 ","74,567 ","71,620 ","78,946 ","54,171 ","1,817 ","7,831 ","3,230 ","4,414 ","1,848 ","2,483 ",-   ,3 ,"2,132 ",67 ,950 
,00125,대전,,대덕,송촌,대전IC ~ 회덕JCT,271.9~277.9,6.0 ,6,상,"94,485 ","88,861 ","87,917 ","83,063 ","90,162 ","62,071 ","2,090 ","9,092 ","3,744 ","4,885 ","2,082 ","2,720 ",-   ,3 ,"2,376 ",70 ,"1,029 "
,회덕 - 남이,,,,,,,22.6 ,,12,"91,015 ","88,810 ","82,810 ","85,344 ","88,979 ","61,360 ","2,088 ","9,849 ","3,812 ","5,138 ","2,198 ","2,206 ",3 ,3 ,"1,444 ",135 ,743 
,,,,,,,,,,24,"122,678 ","115,146 ","110,995 ","114,960 ","120,523 ","80,142 ","2,678 ","12,084 ","5,271 ","8,296 ","4,186 ","3,778 ",31 ,28 ,"2,600 ",240 ,"1,189 "
,00126,대전,,대덕,신대,회덕JCT ~ 신탄진IC,277.9~282,4.1 ,8,수*,"106,684 ","106,330 ","102,900 ","105,601 ","113,626 ","75,669 ","2,470 ","11,292 ","4,949 ","7,706 ","4,173 ","3,546 ",36 ,30 ,"2,459 ",222 ,"1,074 "
,00127,대전,,대덕,목상,신탄진IC ~ 남청주IC,282~293.1,11.1 ,8,수*,"123,389 ","115,974 ","110,006 ","114,054 ","120,342 ","80,663 ","2,636 ","12,041 ","5,180 ","7,959 ","4,253 ","3,703 ",33 ,28 ,"2,494 ",231 ,"1,121 "
,00128,충북,청주,남이,외천,남청주IC ~ 청주JCT,293.1~296.6,3.5 ,8,상*,"115,970 ","113,845 ","107,512 ","112,071 ","117,484 ","79,027 ","2,583 ","12,083 ","4,993 ","7,384 ","4,080 ","3,643 ",22 ,22 ,"2,300 ",220 ,"1,127 "
,00128-1,충북,청주,남이,척북,청주JCT ~ 남이JCT,296.6~300.5,3.9 ,10,수*,"143,492 ","123,234 ","125,450 ","129,968 ","131,013 ","84,361 ","3,099 ","13,039 ","6,116 ","10,693 ","4,105 ","4,358 ",28 ,34 ,"3,319 ",302 ,"1,559 "
경부선,남이 - 옥산,,,,,,,15.5 ,,12,"62,347 ","64,851 ","65,541 ","67,018 ","65,777 ","43,021 ","1,877 ","7,073 ","2,989 ","4,500 ","1,782 ","1,930 ",5 ,3 ,"1,656 ",105 ,836 
,,,,,,,,,,24,"86,219 ","88,642 ","88,567 ","93,480 ","91,731 ","56,065 ","2,427 ","9,026 ","4,634 ","9,345 ","2,355 ","3,334 ",9 ,23 ,"2,851 ",258 ,"1,404 "
